"","ac
        type","cn / ln","date","fatalities","flight #","ground","location","operator","registration","route","summary","time"
"86","Junkers F-13","?","November 18, 1923","3   (passengers:1  crew:2)","?","0","Russia","CCCP","D-257","?","Crashed during a training flight.","?"
"87","De Havilland DH-4","?","December 06, 1923","1   (passengers:0  crew:1)","?","0","Castalia, Ohio","US Aerial Mail Service","318","?","Crashed under unknown circumstances.","?"
"88","Zeppelin Dixmunde (airship)","?","December 23, 1923","52   (passengers:?  crew:?)","?","0","Over the Mediterranean Sea","Military - French Navy","L-72","Toulon - Algiers","Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning.","c 02:30"
"89","De Havilland DH-4","?","December 24, 1923","1   (passengers:0  crew:1)","?","0","Egbert, WY","US Aerial Mail Service","315","?","Crashed into a montain in poor weather conditions.","?"
"90","De Havilland DH-4","?","March 07, 1924","1   (passengers:0  crew:1)","?","0","Grampian, Pennsylvania","US Aerial Mail Service","327","?","Crashed during a snowstorm.","?"
"91","Fokker F.III","1535","April 24, 1924","3   (passengers:2  crew:1)","?","0","Over the English Channel","KLM Royal Dutch Airlines","H-NABS","Lympne, England - Rotterdam, The Netherlands","The aircraft disappeared over the North Sea. The plane and passengers were never found.","?"
"92","Junkers F-13","684","June 08, 1924","5   (passengers:3  crew:2)","?","0","Barranquilla, Colombia","SCADTA","A16","Barranquilla - Bogota","Stalled after taking off and crashed into houses..","?"
"93","De Havilland DH-4","?","August 01, 1924","1   (passengers:0  crew:1)","?","0","United States","US Aerial Mail Service","297","?","The pliot made a low pass in honor of another pilot who had died, stalled and cashed.","?"
"94","Breguet 14","?","November 06, 1924","1   (passengers:0  crew:1)","?","0","Cabrerolles, France","Grands Express Aeriens","F-AFBD","?","While en route the pilot encountered thunderstorms, lost control and crashed.","?"
"95","De Havilland DH-4","?","December 21, 1924","1   (passengers:0  crew:1)","?","0","Goshen, Indiana","US Aerial Mail Service","311","?","Lost in a snowstorm, the pilot decided to bail out of the plane but was killed.","?"
"96","de Havilland DH-34B","36","December 24, 1924","8   (passengers:7  crew:1)","?","0","Purley, England","Imperial Airways","G-EBBX","London - Paris","Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Crashed due to an unknown mechanical failure and subsiquent stall. Captain Stewart and seven passengers were killed in an attempted forced landing.","c 12:00"
"97","Junkers F-13","590","March 22, 1925","5   (passengers:3  crew:2)","?","0","Near Tiflis, Georgia, USSR","Zakavia","R-RECA","Tiflis - Suchumi","Shortly after take off the plane went out of control and crashed in flames.","?"
"98","Breguet 14","202","April 25, 1925","3   (passengers:1  crew:2)","?","0","Alicante, Spain","Grands Express Aeriens","F-AFBB","Alicante - Barcelona - Toulouse","Shortly after takeoff, while flying at a low altitude, in poor visibility, the, aircraft hit a lightning rod, stalled and crashed.","?"
"99","Fokker (KLM)  F.III","1502","June 25, 1925","4   (passengers:3  crew:1)","?","0","Landrécies, France","KLM Royal Dutch Airlines","H-NABM","Amsterdam - Paris","While in a turn in bad weather, the right wing struck trees and the plane crashed. Failure of an aileron in flight.","?"
"100","Lioré-et-Olivier LeO H-13","?","June 26, 1925","2   (passengers:0  crew:2)","?","0","Alicante, Spain","Grands Express Aeriens","F-FREM","Oran - Alicante","While attempting to land the seaplane hit a lightning mast and crashed.","?"
"101","Breguet 14","209","July 20, 1925","1   (passengers:0  crew:1)","?","0","Rosas, Spain","Lignes Aeriennes Latecoere","F-AFBI","Toulouse - Barcelona","Crashed in unknown circumstance.","?"
"102","Potez IX","?","July 24, 1925","1   (passengers:0  crew:1)","?","0","Budapest, Hungary","CIDNA","?","?","Crashed while attempting to land 10 km from the airport","?"
"103","Dirigible ZR-1 Shenandoah (airship)","?","September 03, 1925","14   (passengers:0  crew:14)","?","0","Caldwell, Ohio","Military - U.S. Navy","ZR-1","Lakehurst, NJ - S.t Louis, MO","The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmospheric conditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon. The airship was the first one inflated with helium instead of hydrogen, which may have saved lives since it did not explode when it came apart. The airship was the first one inflated with helium instead of hydrogen, which may have saved lives since it did not explode when it came apart.","0530"
"104","Spad 33","?","September 07, 1925","?   (passengers:?  crew:?)","?","?","Toul, France","CIDNA","?","?","?","?"
"105","De Havilland DH-4","?","October 01, 1925","1   (passengers:0  crew:1)","?","0","Mt. Nittany, Ohio","US Aerial Mail Service","385","New York - San Francisco","Crashed into a wooded area on Mt. Nittany in fog and low visibility.","?"
"106","Breguet 14","168","November 14, 1925","1   (passengers:0  crew:1)","?","0","Nouadhibou, Mauritania","Lignes Aeriennes Latecoere","F-AEGZ","?","The pilot suffered sunstroke lost control of the plane and crashed.","?"
"107","Farman F-60 Goliath","?","November 14, 1925","2   (passengers:?  crew:?)","?","0","Off Boulogne-sur-Mer, France","Air Union","F-FHMY","?","?","?"
"108","Curtiss Carrier Pigeon","?","February 12, 1926","1   (passengers:0  crew:1)","?","0","Montpelier, Ohio","US Aerial Mail Service","602","?","While the mail plane was flying at a low altitude, the  aircraft hit trees and crashed in a wooded area.","?"
"109","Junkers F-13","665","March 08, 1926","1   (passengers:0  crew:1)","?","0","Staaken, Germany","Deutche Lufthansa","D-290
D-290","?","While in a training filight the aircraft stalled and crashed while attempting to land.","?"
"110","Breguet 14","1908","May 31, 1926","1   (passengers:0  crew:1)","?","0","English Channel","Air Union","F-ADAI","Paris - Cryodon","The mail plane crashed into the English Channel and was never found.","?"
"111","Caudron C-61","5307","July 03, 1926","6   (passengers:4  crew:2)","?","0","Rossaugpt, Czechoslovakia","Compagnie Internationale de Navigation Aérienne","F-AFBT","Paris - Prague - Budapest","Crashed while en route into a mountain in adverse weather conditions. The pilot was flying at too low of an altitude.","?"
"112","Fokker F7","4759","July 09, 1926","2   (passengers:1  crew:1)","?","0","Wolvertem, Belgium","KLM Royal Dutch Airlines","H-NACC","Amsterdam - Rotterdam - Brussels - Paris","Crashed into the ground while descending in poor weather.","0930"
"113","Junkers F-13","660","July 24, 1926","5   (passengers:4  crew:1)","?","0","Juist, Germany","Deutsche Lufthansa","D-272","?","Crashed under weather related.circumstances.","?"
"114","Bleriot 155","2","August 18, 1926","3   (passengers:2  crew:1)","?","0","Hurst, Kent, England","Air Union","F-AIEB","Lebourget, France - Croydon, England","The plane made a forced landing at Romney Marsh  in heavy fog.  Engine failure. The pilot initally survived but died a day later.","?"
"115","Sikorsky S-25","?","September 26, 1926","2   (passengers:2  crew:0)","?","0","New York, New York","?","?","New York - Paris","Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantic passenger flight.","?"
"116","Bleriot 155","1","October 02, 1926","7   (passengers:5  crew:2)","?","0","Leigh, Kent, Unied Kingdom","Air Union","F- AICQ","Paris - London","After an engine fire, the pilot attempts to make an emergency landing at Penshurst Airfield but crashed..","1527"
"117","Fokker FG III","1554","October 08, 1926","4   (passengers:3  crew:1)","?","0","Bueren, Germany","Deutsche Lufthansa","D-468","?","Weather related.","?"
"118","Handley Page W-10","W10/3","October 21, 1926","0   (passengers:0  crew:0)","?","0","English Channel","Imperial Airways","G-EBMS","Croydon - Paris","The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry.","c 13:15"
"119","Breguet 14","198","November 11, 1926","3   (passengers:3  crew:0)","?","0","Cape Bojador, Morocco","Grands Express Aeriens","F-AFAX","Casablanca -Dakar","While en route and cruising along the shore, the mail plane's engine failed. The crew made an emergency landing on a beach near Cape Bojador. After the landing, crew was attacked by Maures tribesmen and killed while the aircraft was set on fire and destroyed.","0800"
"120","Ryan M-1","?","December 16, 1926","1   (passengers:0  crew:1)","?","0","Medford, Oregon","Pacific Air Transport","2","?","The postal plane crashed into a mountain slope in foggy conditions.","?"
"121","Fokker F-VII","4938","January 12, 1927","0   (passengers:0  crew:2)","?","0","Estaires, France","Fokker","G-EBPL","Delivery flight","The flight crew encountered poor weather conditions and made an emergency landing. The aircraft landed in a field badly damaged and written off.","?"
